min,max,0,1,2,3,4,5,6,7,-1
0.0,88000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03063
88000.0,89000.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0
89000.0,90000.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0
90000.0,91000.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0
91000.0,92000.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0
92000.0,93000.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0
93000.0,94000.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0
94000.0,95000.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3300.0
95000.0,96000.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.0
96000.0,97000.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3400.0
97000.0,98000.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0
98000.0,99000.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0
99000.0,101000.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0
101000.0,103000.0,830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0
103000.0,105000.0,930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700.0
105000.0,107000.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0
107000.0,109000.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800.0
109000.0,111000.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0
111000.0,113000.0,1340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0
113000.0,115000.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0
115000.0,117000.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0
117000.0,119000.0,1640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0
119000.0,121000.0,1750.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.0
121000.0,123000.0,1850.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,4500.0
123000.0,125000.0,1950.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0
125000.0,127000.0,2050.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,5100.0
127000.0,129000.0,2150.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,5400.0
129000.0,131000.0,2260.0,630.0,0.0,0.0,0.0,0.0,0.0,0.0,5700.0
131000.0,133000.0,2360.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0
133000.0,135000.0,2460.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,6300.0
135000.0,137000.0,2550.0,930.0,0.0,0.0,0.0,0.0,0.0,0.0,6600.0
137000.0,139000.0,2610.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,6800.0
139000.0,141000.0,2680.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,7100.0
141000.0,143000.0,2740.0,1110.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0
143000.0,145000.0,2800.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0
145000.0,147000.0,2860.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0
147000.0,149000.0,2920.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,8400.0
149000.0,151000.0,2980.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,8700.0
151000.0,153000.0,3050.0,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0
153000.0,155000.0,3120.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,9300.0
155000.0,157000.0,3200.0,1570.0,0.0,0.0,0.0,0.0,0.0,0.0,9600.0
157000.0,159000.0,3270.0,1640.0,0.0,0.0,0.0,0.0,0.0,0.0,9900.0
159000.0,161000.0,3340.0,1720.0,100.0,0.0,0.0,0.0,0.0,0.0,10200.0
161000.0,163000.0,3410.0,1790.0,170.0,0.0,0.0,0.0,0.0,0.0,10500.0
163000.0,165000.0,3480.0,1860.0,250.0,0.0,0.0,0.0,0.0,0.0,10800.0
165000.0,167000.0,3550.0,1930.0,320.0,0.0,0.0,0.0,0.0,0.0,11100.0
167000.0,169000.0,3620.0,2000.0,390.0,0.0,0.0,0.0,0.0,0.0,11400.0
169000.0,171000.0,3700.0,2070.0,460.0,0.0,0.0,0.0,0.0,0.0,11700.0
171000.0,173000.0,3770.0,2140.0,530.0,0.0,0.0,0.0,0.0,0.0,12000.0
173000.0,175000.0,3840.0,2220.0,600.0,0.0,0.0,0.0,0.0,0.0,12400.0
175000.0,177000.0,3910.0,2290.0,670.0,0.0,0.0,0.0,0.0,0.0,12700.0
177000.0,179000.0,3980.0,2360.0,750.0,0.0,0.0,0.0,0.0,0.0,13200.0
179000.0,181000.0,4050.0,2430.0,820.0,0.0,0.0,0.0,0.0,0.0,13900.0
181000.0,183000.0,4120.0,2500.0,890.0,0.0,0.0,0.0,0.0,0.0,14600.0
183000.0,185000.0,4200.0,2570.0,960.0,0.0,0.0,0.0,0.0,0.0,15300.0
185000.0,187000.0,4270.0,2640.0,1030.0,0.0,0.0,0.0,0.0,0.0,16000.0
187000.0,189000.0,4340.0,2720.0,1100.0,0.0,0.0,0.0,0.0,0.0,16700.0
189000.0,191000.0,4410.0,2790.0,1170.0,0.0,0.0,0.0,0.0,0.0,17500.0
191000.0,193000.0,4480.0,2860.0,1250.0,0.0,0.0,0.0,0.0,0.0,18100.0
193000.0,195000.0,4550.0,2930.0,1320.0,0.0,0.0,0.0,0.0,0.0,18800.0
195000.0,197000.0,4630.0,3000.0,1390.0,0.0,0.0,0.0,0.0,0.0,19500.0
197000.0,199000.0,4700.0,3070.0,1460.0,0.0,0.0,0.0,0.0,0.0,20200.0
199000.0,201000.0,4770.0,3140.0,1530.0,0.0,0.0,0.0,0.0,0.0,20900.0
201000.0,203000.0,4840.0,3220.0,1600.0,0.0,0.0,0.0,0.0,0.0,21500.0
203000.0,205000.0,4910.0,3290.0,1670.0,0.0,0.0,0.0,0.0,0.0,22200.0
205000.0,207000.0,4980.0,3360.0,1750.0,130.0,0.0,0.0,0.0,0.0,22700.0
